moneda,casa,nombre,compra,venta,fechaActualizacion,variacion,fecha_consulta
USD,bna,BNA,1465.0,1515.0,2026-08-13T13:00:00.000Z,0.0,2026-08-13T16:12:21.715949
USD,oficial,Oficial,1464.62,1515.69,2026-08-14T11:42:00.000Z,0.0,2026-08-14T15:38:01.844474
USD,blue,Blue,1520.0,1535.0,2026-08-14T12:00:00.000Z,0.0,2026-08-14T15:38:01.844474
USD,bolsa,Bolsa,1521.56,1521.56,2026-08-14T12:00:00.000Z,0.0,2026-08-14T15:38:01.844474
USD,contadoconliqui,Contado con liquidación,1579.18,1579.18,2026-08-14T12:00:00.000Z,-0.1,2026-08-14T15:38:01.844474
USD,mayorista,Mayorista,1482.0,1491.0,2026-08-14T11:39:00.000Z,-0.07,2026-08-14T15:38:01.844474
USD,cripto,Cripto,1577.68,1577.68,2026-08-14T12:00:00.000Z,0.0,2026-08-14T15:38:01.844474
USD,tarjeta,Tarjeta,1465.0,1969.5,2026-08-14T12:00:00.000Z,0.0,2026-08-14T15:38:01.844474
USD,bna,BNA,1465.0,1515.0,2026-08-14T12:00:00.000Z,0.0,2026-08-14T15:38:01.844474
USD,oficial,Oficial,1461.04,1512.59,2026-08-14T16:10:00.000Z,-0.2,2026-08-15T13:55:29.036169
USD,blue,Blue,1525.0,1545.0,2026-08-14T18:55:00.000Z,0.65,2026-08-15T13:55:29.036169
USD,bolsa,Bolsa,1514.78,1514.78,2026-08-14T19:55:00.000Z,-0.4,2026-08-15T13:55:29.036169
USD,contadoconliqui,Contado con liquidación,1579.08,1579.08,2026-08-14T19:55:00.000Z,-0.1,2026-08-15T13:55:29.036169
USD,mayorista,Mayorista,1478.5,1487.5,2026-08-14T16:12:00.000Z,-0.3,2026-08-15T13:55:29.036169
USD,cripto,Cripto,1579.99,1579.99,2026-08-15T09:00:00.000Z,0.27,2026-08-15T13:55:29.036169
USD,tarjeta,Tarjeta,1460.0,1963.0,2026-08-14T18:55:00.000Z,-0.33,2026-08-15T13:55:29.036169
USD,bna,BNA,1460.0,1510.0,2026-08-14T18:55:00.000Z,-0.33,2026-08-15T13:55:29.036169
